frozenset({'yogurt', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5390070921985816
frozenset({'root vegetables', 'brown bread'})	of	frozenset({'whole milk'})	: 0.56
frozenset({'sausage', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5617977528089887
frozenset({'root vegetables', 'sausage'})	of	frozenset({'whole milk'})	: 0.5170068027210885
frozenset({'other vegetables', 'frozen vegetables'})	of	frozenset({'whole milk'})	: 0.5428571428571428
frozenset({'root vegetables', 'shopping bags'})	of	frozenset({'other vegetables'})	: 0.5158730158730159
frozenset({'chicken', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5473684210526316
frozenset({'root vegetables', 'yogurt'})	of	frozenset({'whole milk'})	: 0.562992125984252
frozenset({'other vegetables', 'brown bread'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'domestic eggs', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.6235294117647059
frozenset({'other vegetables', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5175097276264592
frozenset({'yogurt', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.517361111111111
frozenset({'cream cheese ', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5327868852459017
frozenset({'root vegetables', 'chicken'})	of	frozenset({'whole milk'})	: 0.5514018691588786
frozenset({'citrus fruit', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5862068965517241
frozenset({'pastry', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.537037037037037
frozenset({'other vegetables', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5128805620608898
frozenset({'frozen vegetables', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'other vegetables', 'oil'})	of	frozenset({'whole milk'})	: 0.5102040816326531
frozenset({'frozen vegetables', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5350877192982456
frozenset({'root vegetables', 'margarine'})	of	frozenset({'other vegetables'})	: 0.5321100917431192
frozenset({'whipped/sour cream', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5714285714285715
frozenset({'butter', 'tropical fruit'})	of	frozenset({'other vegetables'})	: 0.5510204081632654
frozenset({'sausage', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5188679245283019
frozenset({'citrus fruit', 'butter'})	of	frozenset({'whole milk'})	: 0.5555555555555555
frozenset({'root vegetables', 'rolls/buns'})	of	frozenset({'other vegetables'})	: 0.502092050209205
frozenset({'other vegetables', 'sugar'})	of	frozenset({'whole milk'})	: 0.5849056603773586
frozenset({'tropical fruit', 'frankfurter'})	of	frozenset({'whole milk'})	: 0.5483870967741935
frozenset({'yogurt', 'bottled beer'})	of	frozenset({'whole milk'})	: 0.5604395604395604
frozenset({'root vegetables', 'curd'})	of	frozenset({'other vegetables'})	: 0.5046728971962617
frozenset({'whipped/sour cream', 'domestic eggs'})	of	frozenset({'other vegetables'})	: 0.5102040816326531
frozenset({'yogurt', 'beef'})	of	frozenset({'whole milk'})	: 0.5217391304347826
frozenset({'curd', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.6336633663366337
frozenset({'root vegetables', 'yogurt'})	of	frozenset({'other vegetables'})	: 0.5
frozenset({'fruit/vegetable juice', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5054347826086957
frozenset({'fruit/vegetable juice', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5508474576271186
frozenset({'curd', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5858585858585859
frozenset({'citrus fruit', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5490196078431373
frozenset({'other vegetables', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5525114155251142
frozenset({'root vegetables', 'tropical fruit'})	of	frozenset({'other vegetables'})	: 0.5845410628019324
frozenset({'frozen vegetables', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5263157894736842
frozenset({'curd', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5823529411764706
frozenset({'curd', 'tropical fruit'})	of	frozenset({'other vegetables'})	: 0.5148514851485149
frozenset({'margarine', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.6219512195121952
frozenset({'root vegetables', 'pork'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'yogurt', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5245098039215685
frozenset({'sausage', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.5182481751824818
frozenset({'curd', 'tropical fruit'})	of	frozenset({'yogurt'})	: 0.5148514851485149
frozenset({'root vegetables', 'frankfurter'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'root vegetables', 'chicken'})	of	frozenset({'other vegetables'})	: 0.5233644859813085
frozenset({'other vegetables', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5070422535211268
frozenset({'whipped/sour cream', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.6483516483516485
frozenset({'pastry', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.5076923076923077
frozenset({'other vegetables', 'curd'})	of	frozenset({'whole milk'})	: 0.5739644970414202
frozenset({'root vegetables', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5230125523012552
frozenset({'root vegetables', 'curd'})	of	frozenset({'whole milk'})	: 0.5700934579439252
frozenset({'root vegetables', 'butter'})	of	frozenset({'whole milk'})	: 0.6377952755905512
frozenset({'butter', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5700000000000001
frozenset({'butter', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.6224489795918368
frozenset({'root vegetables', 'domestic eggs'})	of	frozenset({'other vegetables'})	: 0.5106382978723404
